Country;Product;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Japan;Fossil fuels;290700;331100;388633;354497;364515;389123;424444;427812;433304;400748;403966;384451;404390;424874;411237;407518;434993;462417;501195;541315.015;546947.144;558412.488;524451.808;590071.396;570631.5;582048.632;577841.162;563304.32;601770.278;615212.743;602711.142;646800.06;678195.872;665988.478;676120.756;668943.381;749519.441;722167.667;679434.705;732583.673;855442.521;934670.548;936723.997;905493.295;861134.082;849011.059;822052.813;768523.011;703367.319
Japan;Nuclear;8000;9500;9707;19699;25125;34079;31659;59313;70393;82591;87820;102430;114291;134264;159578;168304;187758;178659;182869;202271.703;213459.852;223259.068;249256.053;269126.701;291253.999;302200.607;319177.424;332342.898;316615.864;322049.543;319858.512;295094.715;240013.328;282442.148;304754.543;303426.205;263832.228;258127.915;279749.614;288230.48;101761.003;15939.413;9302.75;0;9437.285;18059.967;32911.743;64929.104;63778.976
Japan;Renewable sources;84200;85100;67047;82780;83506;83790;73268;70647;81643;89192;88490;91498;95304;83711;95574;94620;89598;106278;108789;98430.941;105892.485;91913.126;104113.497;75981.431;91776.592;89224.592;99413.771;101265.875;97232.386;97692.259;94769.49;95014.019;110145.857;109883.88;97637.372;109876.267;96348.754;99397.382;100974.105;111977.215;114754.555;108606.025;119441.038;134641.77;151844.29;150798.401;169420.667;176912.658;184405.001
Japan;Total;382900;425700;465387;456976;473146;506992;529371;557772;585340;572531;580276;578714;614392;643359;666941;671104;713011;748135;793685;861541.918;886501.153;893583.856;897985.332;956656.317;976636.486;996999.063;1019477.949;1016495.184;1035862.903;1055046.899;1037513.95;1057135.44;1049482.12;1078743.349;1099417.076;1103915.849;1131454.739;1101938.014;1085220.506;1164017.296;1103942.551;1091794.572;1098753.071;1072657.679;1054595.387;1055690.097;1063893.379;1050374.056;992495.86
Korea;Fossil fuels;9220;10472;13541;14929;18437;21328;25123;27378;30120;31778;34601;37340;37162;39617;37603;31565;28034;40595;41742;46122;53457;64775;80667;100764;111098;125851;142132;122036;128265;175437;192724;207215;208337;231142;236937;249362;278246;288444;298953;341395;356866;372452;389095;379353;371960;379015;393250.525;426855.88;400447.116
Korea;Nuclear;0;0;0;0;0;0;71;2324;3152;3477;2897;3777;8965;11792;16745;28311;39314;40101;47365;52887;56311;56530;58138;58651;67029;73924;77086;89689;103064;108964;112133;119103;129672;130715;146779;148749;142937;150958;147771;148596;154723;150327;138784;156407;164762;161995;148426.725;133505.261;145909.67
Korea;Renewable sources;1320;1367;1284;1906;1683;1789;1393;1808;2328;1984;2709;2005;2723;2399;3659;4019;5344;3566;4588;6362;3487;3099;4230;2349;3012;2830;2895;4343;4257;4111;4258;3434;5123;4631;4052;4018;4557;4376;4687;6186;7479;7093;8783;8553;10642;15884;18620.917;23025.955;28249.962
Korea;Total;10540;11839;14825;16835;20120;23117;26587;31510;35600;37239;40207;43122;48850;53808;58007;63895;72692;84262;93695;105371;113255;124404;143035;161764;181139;202605;222114;216069;235596;288526;309137;329804;343191;366612;387874;402270;425905;443936;451676;496718;520053;530935;537891;545866;549047;558816;562693.219;586200.132;577869.175
Latvia;Fossil fuels;;;;;;;;;;;;;;;;;;;;2152;2369;1313;1048;1135;1042;1265;1551;1479;1350;1313;1441;1490;1637;1493;1492;2105;1943;2062;2013;2992;3017;2058;2675;2337;2757;2944;2069.489;3226.28;3246.275
Latvia;Nuclear;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Latvia;Renewable sources;;;;;;;;;;;;;;;;;;;;4496;3275;2521;2876;3305;2937;1861;2955;4318;2759;2823;2839;2485;2338;3196;3414;2786;2828;3212;3556;3635.563;3076.862;4109.223;3534.063;2802.351;2776.49;3480.41;5461.7;3498.595;3192.11
Latvia;Total;;;;;;;;;;;;;;;;;;;;6648;5644;3834;3924;4440;3979;3126;4506;5797;4110;4136;4280;3975;3975;4689;4906;4891;4771;5274;5569;6627.563;6093.862;6167.223;6209.063;5139.351;5533.49;6424.41;7531.189;6724.875;6438.385
Lithuania;Fossil fuels;;;;;;;;;;;;;;;;;;;;10920;11991;3582;1264;1575;1296;1939;2024;3130;2752;2271;2604;2656;2845;3052;3418;2794;2825;2593;2836;3833;2877;3119;2425;1911;2254;1207;736.671;461.7;591.515
Lithuania;Nuclear;;;;;;;;;;;;;;;;;;;;17033;17000;14638;12260;7706;11822;13942;12024;13554;9862;8419;11362;14142;15484;15102;10337;8651;9833;9894;10852;0;0;0;0;0;0;0;0;0;0
Lithuania;Renewable sources;;;;;;;;;;;;;;;;;;;;414;338;311;393;452;373;326;296;417;415;340;328;358;332;428;460;435;581;602;684;911;1112;1183;1526;1511;1678;2095;2537.877;2204.6;2469.042
Lithuania;Total;;;;;;;;;;;;;;;;;;;;28405;29363;18548;13934;9755;13520;16241;14388;17153;13089;11121;14362;17294;18828;18752;14415;12077;13470;13327;14643;4994;4246;4529;4214;3708;4258;3676;3608.229;2982.5;3369.313
Luxembourg;Fossil fuels;1278;1303;1347;1159;983;1050;1030;1031;976;790;585;412;344;409;397;454;423;460;509;520;579;558;564;450;346;338;274;195;204;214.841;666.925;2624.366;2619.576;3152.629;3106.545;3247.284;2895.204;2402.198;2842.717;2916.54;2341.022;2388.207;1421.114;1451.304;837.784;258.179;221.212;195.495;177.283
